"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","geometry"
"86",9015,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"50",30,"0.5","5","Agriculture",200158,NA,447840.538,4691237.176,c(447840.538, 4691237.176)
"87",9016,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",20,"0.3","5","Agriculture",200157,NA,447994.7257,4691140.7855,c(447994.7257, 4691140.7855)
"88",9017,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"40",50,"1.8","5","road",200159,NA,447644.3254,4691051.4959,c(447644.3254, 4691051.4959)
"89",9018,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"35",35,"1.5","5","Looting",200155,NA,446925.9897,4690750.6461,c(446925.9897, 4690750.6461)
"90",9019,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"20",15,"1","5","Looting",200154,NA,446733.7361,4690868.9712,c(446733.7361, 4690868.9712)
"91",9020,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-10-23,"50",60,"1.5","5","Agriculture",200156,NA,446998.8455,4690894.7443,c(446998.8455, 4690894.7443)
"92",9021,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"25",25,"1.5","5","Agriculture",0,NA,446463.8355,4688192.7781,c(446463.8355, 4688192.7781)
"93",9022,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"30",30,"1.5","3","Looting",0,NA,446401.6663,4688202.2681,c(446401.6663, 4688202.2681)
"94",9023,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",30,"2","5","Agriculture",200145,NA,446895.2355,4687614.3224,c(446895.2355, 4687614.3224)
"95",9025,"Survey","Burial Mound","Pasture","Scrub",2010-10-23,"25",30,"2","3","Bioturbation",0,NA,445020.5626,4686690.2283,c(445020.5626, 4686690.2283)
"96",9026,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-23,"35",35,"1.5","1","None",200356,NA,445030.6604,4686636.5112,c(445030.6604, 4686636.5112)
"97",9027,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-23,"40",40,"4","1","Bioturbation",200355,NA,445063.9196,4686595.618,c(445063.9196, 4686595.618)
"98",9028,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","3","Looting",200351,NA,445048.4694,4682743.8077,c(445048.4694, 4682743.8077)
"99",9029,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","4","Looting",0,NA,445054.9484,4682810.7887,c(445054.9484, 4682810.7887)
"100",9030,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"60",60,"7","5","Looting",200352,NA,445218.2225,4682996.1995,c(445218.2225, 4682996.1995)
"101",9037,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-24,"32",32,"2.5","1","None",200147,NA,447748.4051,4688366.847,c(447748.4051, 4688366.847)
"102",9038,"Survey","Burial Mound","Pasture","Scrub",2010-10-24,"25",25,"2.0","4","Looting",0,NA,447767.6368,4688331.9616,c(447767.6368, 4688331.9616)
"103",9039,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"15",20,"0.4","5","Agriculture",0,NA,447856.142,4688295.6348,c(447856.142, 4688295.6348)
"104",9043,"Legacy verification","Burial Mound","Scrub","Scrub",2010-10-24,"30",30,"1.5","5","Looting",200143,NA,445721.6937,4688495.3996,c(445721.6937, 4688495.3996)
"105",9044,"Legacy verification","Burial Mound","Scrub","Pasture",2010-10-24,"50",60,"6","5","Looting",200142,NA,445612.3567,4688621.2911,c(445612.3567, 4688621.2911)
"106",9048,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"25",25,"0.8","5","Agriculture",200310,NA,442788.9918,4686223.9189,c(442788.9918, 4686223.9189)
"107",9049,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"50",50,"3","5","Agriculture",200312,NA,442663.022,4685995.8147,c(442663.022, 4685995.8147)
"108",9050,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"40",40,"1.5","5","Agriculture",200311,NA,442611.2443,4685801.2093,c(442611.2443, 4685801.2093)
"109",9054,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"35",35,"3.5","2","Agriculture",200359,NA,454008.4867,4684699.8834,c(454008.4867, 4684699.8834)
"110",9055,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-25,"35",35,"2","2","None",0,NA,454047.5718,4684710.0797,c(454047.5718, 4684710.0797)
"111",9056,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"20",20,"1.2","5","Agriculture",0,NA,453994.7419,4684736.223,c(453994.7419, 4684736.223)
"112",9057,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"15",15,"0.5","5","Agriculture",0,NA,454022.5398,4684749.2746,c(454022.5398, 4684749.2746)
"113",9058,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"28",30,"0.5","5","Agriculture",0,NA,453992.4026,4684773.4832,c(453992.4026, 4684773.4832)
"114",9059,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"0.5","5","Agriculture",0,NA,454064.0403,4684756.6854,c(454064.0403, 4684756.6854)
"115",9060,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"30",30,"4","4","Looting",200360,NA,453980.6409,4684707.5678,c(453980.6409, 4684707.5678)
"116",9061,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",50,"1","5","road",200364,"Jankova mogyla",454628.6773,4684103.5056,c(454628.6773, 4684103.5056)
"117",9062,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"1","5","Agriculture",0,NA,457347.8869,4682112.4962,c(457347.8869, 4682112.4962)
"118",9064,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"60",60,"6","5","Looting",200367,"Lozenska mogila",457472.566,4682010.594,c(457472.566, 4682010.594)
"119",9065,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"40",30,"2","5","road",200358,NA,453543.8885,4684300.0429,c(453543.8885, 4684300.0429)
"120",9066,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",40,"3","5","Looting",0,NA,452811.6466,4683361.4796,c(452811.6466, 4683361.4796)
"121",9067,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"22",22,"1.7","2","Construction",200363,NA,453010.6487,4683650.4397,c(453010.6487, 4683650.4397)
"122",9068,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"40",40,"0.5","5","Agriculture",200362,NA,453410.6136,4683607.6323,c(453410.6136, 4683607.6323)
"123",9069,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"30",30,"2","4","Looting",200914,NA,441622.6373,4675895.6782,c(441622.6373, 4675895.6782)
"124",9070,"Legacy verification","Burial Mound","Scrub","Forest",2010-10-26,"30",30,"2 acc to topomap","5","Bioturbation",200316,NA,440813.5304,4677155.1918,c(440813.5304, 4677155.1918)
"125",9072,"Legacy verification","Burial Mound","Perennial agriculture","Perennial agriculture",2010-10-26,"60",40,"2","5","Agriculture",200130,NA,438449.9585,4689613.5605,c(438449.9585, 4689613.5605)
"126",9073,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"40",30,"4","4","Looting",200136,NA,438872.2045,4688872.4535,c(438872.2045, 4688872.4535)
"127",9076,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"80",80,"3","5","Looting",200137,NA,438717.9667,4688908.8267,c(438717.9667, 4688908.8267)
"128",9078,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",40,"2","5","Agriculture",200122,"karayvagova mogyla",440662.7273,4694176.2629,c(440662.7273, 4694176.2629)
"129",9079,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"30",30,"3","4","Looting",200925,NA,439645.9104,4693918.3361,c(439645.9104, 4693918.3361)
"130",9080,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"60",60,"1.5","5","Agriculture",0,NA,439656.0139,4693868.8314,c(439656.0139, 4693868.8314)
"131",9082,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-26,"30",25,"1.5","3","Construction",200127,NA,442848.2072,4692894.2319,c(442848.2072, 4692894.2319)
"132",9083,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"2","5","Agriculture",200163,NA,446351.8633,4696373.4171,c(446351.8633, 4696373.4171)
"133",9085,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"0.4","5","Agriculture",200164,NA,445773.656,4697164.9423,c(445773.656, 4697164.9423)
"134",9086,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"15",10,"2","5","Agriculture",200168,NA,448139.9492,4698052.7742,c(448139.9492, 4698052.7742)
"135",9087,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"30",25,"1","5","Agriculture",200167,NA,448774.6149,4697571.4778,c(448774.6149, 4697571.4778)
"136",9088,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-27,"38",38,"4.5","1","Looting",201540,NA,435958.9696,4677544.6956,c(435958.9696, 4677544.6956)
