TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
9182,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,25,,1.8,5,Agriculture
9183,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,20,,1.2,5,Agriculture
9184,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,35,,1.5,5,Agriculture
9185,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,30,,1.5,5,Agriculture
9186,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.5,5,Agriculture
9187,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,25,,1,5,Agriculture
9188,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1.8,5,Agriculture
9189,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1.5,5,Agriculture
9190,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,35,,1.5,5,Looting
9191,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,2,5,Agriculture
9192,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1,5,Agriculture
9193,Legacy verification,Burial Mound,Pasture,Pasture,NA,45,,2.5,1,Construction
9194,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,2,1,Agriculture
9195,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,2,Agriculture
9196,Legacy verification,Burial Mound,Pasture,Pasture,NA,35,,4,5,Looting
9197,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,0.8,5,Agriculture
9198,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1,3,Looting
9199,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,5,Agriculture
9200,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,40,,4,2,Looting
9201,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,40,,5,2,Looting
9202,Legacy verification,Burial Mound,Pasture,Pasture,NA,50,,4.5,2,Looting
9203,Legacy verification,Burial Mound,Pasture,Perennial agriculture,NA,50,,6,5,Looting
9204,Legacy verification,Burial Mound,Pasture,Pasture,NA,25,,2,5,Construction
9205,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,35,,1.7,5,Agriculture
9206,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,40,,7,1,Looting
9207,Survey,Burial Mound,Pasture,Pasture,NA,30,,3,3,None
9208,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.5,5,Agriculture
9209,Survey,Uncertain Mound,Annual agriculture,Annual agriculture,NA,30,,1.5,5,Agriculture
9210,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.5,5,Agriculture
9211,Survey,Burial Mound,Annual agriculture,Scrub,NA,30,,2.5,1,Agriculture
9212,Survey,Burial Mound,Pasture,Pasture,NA,40,,2,3,Construction
9213,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,35,,4,1,Agriculture
9214,NA,Extinct Burial Mound,Annual agriculture,Pasture,NA,40,,5,5,NA
9215,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,1,5,Agriculture
9216,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,49,,5,2,Looting
9217,Survey,Burial Mound,Annual agriculture,Annual agriculture,NA,25,,1.8,5,Agriculture
9218,Legacy verification,Burial Mound,Pasture,Pasture,NA,50,,8,3,Looting
9219,Survey,Burial Mound,Pasture,Pasture,NA,25,,3,3,Looting
9220,Legacy verification,Burial Mound,Pasture,Pasture,NA,30,,3,1,Construction
9222,Legacy verification,Burial Mound,Pasture,Pasture,NA,20,,2,3,Looting
9223,Survey,Burial Mound,Pasture,Pasture,NA,15,,1.5,4,Looting
9224,Survey,Burial Mound,Pasture,Pasture,NA,20,,1.5,3,None
9225,Legacy verification,Burial Mound,Pasture,Pasture,NA,15,,1,2,None
9226,Legacy verification,Burial Mound,Pasture,Pasture,NA,20,,1.5,3,Looting
9227,Survey,Burial Mound,Pasture,Pasture,NA,35,,4,5,Looting
9228,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,2,5,Agriculture
9229,Legacy verification,Burial Mound,Pasture,Scrub,NA,50,,1,3,Looting
9230,Legacy verification,Burial Mound,Pasture,Pasture,NA,25,,2,4,Looting
9231,Legacy verification,Burial Mound,Pasture,Scrub,NA,15,,0.5,5,Looting
9232,Legacy verification,Burial Mound,Pasture,Scrub,NA,20,,1.5,4,Looting
9233,Legacy verification,Burial Mound,Forest,Scrub,NA,25,,1.5,5,Looting
9234,Legacy verification,Burial Mound,Annual agriculture,Pasture,NA,15,,0.5,5,Agriculture
9235,Legacy verification,Burial Mound,Forest,Scrub,NA,35,,3.5,5,Looting
9236,Legacy verification,Burial Mound,Pasture,Scrub,NA,30,,2,5,Looting
